,Count,Category,Start_Date,Title,Content
0,"1,520",안전/환경,2019-11-06,귀갓길에 두 남성으로부터 위협을 받았습니다. 미수범에 대한 조사와 처벌 강화해주세요.,"어젯밤 11시 20분경 하남 **시장 **** 상점 앞에서 벌어진 사건입니다.

약속을 마치고 귀갓길에 시장 인근 공영주차장으로 걸어가던 중 남성 두 명이 부르더니 서서히 제 앞으로 걸어왔습니다. 

야 너 이리 와바. 내 스타일인데..라면서요. 도움을 구하려 둘러봤지만 주변엔 아무도 없었습니다. 상점은 모두 닫혀있었고 공영 주차장으로 가는 길엔 사람도 다니지 않았습니다. 무서운 마음에 저는 바로 앞에 있는 다세대주택 건물로 들어가 입구 문을 잠그고 2층으로 올라갔습니다. 창문을 열고 그들에게 가라고 하니 내려오라면서 아니면 이쪽으로 오겠다며 계속 위협을 했습니다. 그들은 입에 담기도 싫은 말들을 쏟아냈습니다.

다행히 아직 귀가하지 않고 근처에 있던 남성 지인에게 바로 전화를 했고 지인들이 오면서 상황은 종료가 됐습니다. 지인이 그들한테 왜 그랬냐고 묻자 노래방 도우미를 불렀는데 잠시 착각했다라고 하면서 그 둘은 결국 달아났습니다. 주변은 시장이라 상점들만 있고 노래방이 있지 않았습니다.

경찰에 바로 신고를 했고 찍은 사진 등 자료도 넘겼지만 미수범에 대한 처벌은 사실상 힘들다는 이야기를 들었습니다. 저 역시 이들이 어떤 목적으로 저에게 다가와 잡아두려 했는지 알지 못합니다. 하지만 분명한 것은 여성이라는 이유로 이런 무차별적인 위협과 모욕을 겪어야 한다는 것입니다.

얼마 전에 일어난 신림동 사건 기억나십니까? 

한 남성이 여성을 문 앞까지 뒤따라 간 뒤 현관문이 닫히려는 찰나 집 안으로 침입하려 했던 사건입니다. 그 사건은 CCTV와 지문으로 조사에 착수했지만 대부분의 이런 사건들은 단순 경고 정도로 처벌없이 끝나는 경우가 많습니다.  모르는 남성들이 여성에게 위협을 가하려고 해도 실제로 접촉 등 범행이 일어나지 않았다면 아무리 정황이 있어도 그들을 처벌하는데 한계가 있기 때문이죠.

대부분 여성들이 위협을 받아 이런 사건을 신고하면 강간 성추행 의도가 의심은 되지만 강간미수죄로 볼 수 없다고 조사를 안하거나 무죄로 끝나버립니다. 강간죄를 범하려는 의도를 추단하기 힘들고 의도가 있었다고 해도 실행의 착수가 인정이 되어야 미수로 처벌을 할 수 있다는 겁니다.

혼자 사는 여성들이 늘어나고 정부도 안심 귀갓길을 만든다고 하지만 아직도 이런 무서운 일이 벌어지고 있습니다. 피해자가 사건의 정황들을 구체적으로 증거와 함께 제출하면 경찰서가 미수범을 적극 조사할 수 있도록 시스템을 마련해주십시오.  설추행이나 성폭행이 일어난 뒤에야 움직이는 것이 얼마나 큰 의미가 있겠습니까. 미리 선제적으로 이런 끔찍한 일들을 방지할 구체적인 대안이 시급합니다.

이 사건은 단순히 혼자 사는 여성들의 문제가 아닙니다. 앞으로 나의 딸이 홀로 지내는 나의 어머니가 앞으로 남겨될 나의 아내가 겪을 우리의 일입니다. 이런 악행들이 그저 한 여성의 트라우마로만 남지 않기를 간절히 바랍니다.

 본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다"
1,110,육아/교육,2019-11-06,수상경력 기재를 한 학기에 1개에서 1년에 2개로 바꿔주세요,"안녕하세요. 저희는 **여자고등학교 1학년 학생들입니다. 다른 고등학교들처럼 저희 고등학교에도 대회가 있으며 대회에서 상을 받습니다. 그런데 학교마다 교내대회 날짜도 다르고 학기마다 대회가 이뤄지는 수와 종류도 다릅니다. 저희 학교의 경우 꽤 크다고 할 수 있는 대회들은 1학기에 모여 있고 2학기에는 대회가 별로 없습니다. 이는 저희 학교 뿐만이 아니라 대부분의 공립 학교들에서 공통적으로 겪고 있는 문제입니다. 대회가 공립보다는 많은 편이라고 할 수 있는 사립고등학교들에서도 나에게 필요한 대회가 한 학기에 몰려 있는 경우가 많습니다. 
그런데 올해부터 교육부에서 수상경력은 모두 기재하되 상급학교에 제공하는 수상경력 개수를 한학기당 1개로 제한한다라는 것으로 바뀌었습니다. 이렇게 되면 1학기에 받은 두 개 이상의 필요한 상 중에서 하나만 골라 기재해야 합니다. 남은 상은요? 버려야 합니다. 그 상을 받기 위해 투자한 나의 시간과 노력 모두 버려야 한다는 것입니다. 작년 선배님들까지는 자신의 피땀흘려 일군 상 모두 대학에 가는 데 자신의 노력의 증거로 사용해 원하는 대학에 어필할 수 있었습니다. 하지만 03년생부터는 우리의 노력에 대해 전혀 보상받지 못하는 부분이 생기는 것입니다.
학교 선생님들도 이것은 학교의 사정을 고려하지 못한 정책이라고 말씀하십니다. 저희는 정부가 상 밀어주기 정책 등의 학교 내 문제를 해결하기 위해 이런 정책을 만들었다는 사실은 분명하게 이해했으나 어째서 한 학기당 1개 기재로 정했는지는 도저히 이해할 수 없습니다. 학교 내 문제를 해결하기 위해 정책을 만드신 것은 감사하다고 생각을 하고 있습니다. 하지만 모든 학교의 대회 날짜를 정할 수 없는 현실에서 단순히 한 학기당 1개 기재는 학생들의 교육 상황을 정확히는 이해하지 못한 것으로 보입니다. 전체 기재로 피해보는 학생들을 고려하신 것 처럼 한 학기당 1개 기재로 피해보고 있는 저희의 입장도 고려해주셨으면 좋겠습니다. 정부의 의도도 반영하면서 우리의 자율성도 어느정도 추구할 수 있는 타협점이라고 생각하는 주장이 있습니다. 저희는 한 학기당 1개 기재 가 아니라 1년에 2개 기재 로 바꾸는 것을 강력히 주장합니다.

 본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다"
2,633,교통/건축/국토,2019-11-06,주택보증공사HUG의 분양가 규제기준에 대한 개선에 대한 청원,"현재 부동산 관련한 많은 국민들의 관심은 재건축 관련된 민간주택분양가 상한제 HUG의 분양가 규제기준이 중요한 이슈로 자라 잡고 있습니다.
 물론 집값 규제를 통해 국민에게 평등한 공급을 도모한다는 국가의 정책은 이해를 하고있습니다.
다만 국민의 재산권을 부정하며 소유자가 가져야할 당연한 권리이자 금액을 박탈하여 안분을 한다는 이 정책을 이행한다고 하는것이 과연 그게 적당한 정책인가에 대한 건입니다.
다시 한번 강조드리지만 분양가 상한제 초과 이익 환수제 HUG의 분양가 규제 기준 모두 국민의 재산권과 긴밀히 관련이 있습니다.
1. 분양가 상한제는 특정 기간에 해당 되지 않는 앞으로 공급되어야 할 수 있던 공동주택은 재건축의 기회마저 박탈하고 있다고 개인적으로는 생각하고있습니다. 조합원 분담금이 높아진다는것에 누가 기분 좋게 동의를 하겠습니까..
또한 문제점으로 생각되는 부분은 아래와 같습니다.

1.1 분양가 상한제 시행시 오히려 공급이 줄어 들어 집값 상승을 도모 할수 있는 기회가 된다는 것입니다.

1.2 부동산 안정화 즉  일명 로또청약억제를 과연 도모 할수있냐는 말입니다. 기존에 부동산 가격이 자리 잡고 있는 부동산시장에서 가격을 낮춰서 청약이 된다고 하면 오히려 투기를 조장하는 정부의 행위가 아닐까요?
당연히 주변 집값시세 또한 상승했을테니 청약을 통해 공급된 집값은 원래 시세를 찾아갈 것입니다.
따라서 원주민인 재건축조합원의 분담금 상승과 새로운 청약자들의 차익에 대한 괴리감은 원주민의 재산권 박탈과 신규 입주자의 투기를 조장한다는 사실에 많은 이들이 동의 하실겁니다.

1.3 현재 서울에는 노후된 주택들이 많습니다. 재건축의 기회를 박탈 하지 않고 시장경제에 따라 새로운 공급이 많아지면 자연스럽게 부동산 가격은 떨어질것으로 예상이됩니다.
따라서 건축경기를 억제할것이 아닌  정부의 자금을 통해  임대주택 공급을 늘리는 정책이 오히려 부동산 가격을 안정화 시키는 방법이라고 평가됩니다.

다음으로는
2. HUG의 분양가 규제기준이 너무 형평성이 어긋나다는 것입니다. 
현재 같은 행정구역내 건설된 공동주택가격이 기준이라는게 가장 큰 맹점중 하나입니다.
같은 행정구역내에서도 각각이 생활권이 다르고 부동산 시장에 형성된 가격 또한 다른데 모두 통일을 해서 규제 한다고 하면 각각의 행정구역끼리 순위를 매기는거 아닌가요? 그렇다고 하면 그 지역에 생활권과 경제권은 정책 하나를 통해서 정해진다면 이것은 당연한 국민의 자유 및 재산권을 침해하는거라고 생각합니다.

2.1예를 들면 둔촌주공아파트 재건축 현장에대해서 말씀드리겠습니다. 
같은 행정구역안에 있는 고덕자이 아파트는 평당 2445만원으로 분양가격이 결정되었습니다.
둔촌주공아파트 같은경우 2019년 발표된 공시지가는 34평 기준 9억4천4백만원 정도고 분양한 고덕 자이의 대지지분 37평형의 공시지가 5억9천 7백만원 대라는 것인데 4억가량 차이가 나는 상황에서 HUG 분양가 규제기준에 따르면 평당 2445만원에 대한 105 평당 2600만원이라는 말도 안되는 가격이 나오게 됩니다.

2.2 또한 다른 행정구역인 광진구를 예를 들어보겠습니다.
2019년 1월에 분양된 광진구 e편한세상 광진그랜드파크 아파트의 평균 일반분양가격은 3.3당 3370만 원입니다. 이 아파트의 개별 공시지가는 1당 492만 원으로 둔촌주공1당 825만 원의 절반 수준이라는 것입니다. 
단순히 고덕자이와 같은 행정구역이라는 이유로 2배 차이나는 부동산가격을 정책 하에 정한다는건 국민의 재산권을 국가에서 맘대로 좌지우지 할 수 있다는 결과인데 어떤 누가 어떤 서민이 국가 정책에 신뢰를 가지게 되겠습니까?

 2.3 다음 문제점은 HUG 기준에 따르면 앞으로 공급될 공동주택에 대한 가격은 강남구는 평당 5000만원 광진구는 3200만원 강동구는 2000만원으로 순위가 매겨지고 있다는 점입니다. 

결론은 HUG 분양가 규제 기준을 같은 행정구역으로 정할것이 아니라 각 해당 아파트의 이주 시점에 맞는 시세로 기준을 정하는게 마땅하다고 생각하는 바입니다.

 마지막으로 탁상공론으로는 국민의 소리를 들을 수 없고 시장의 분위기를 파악하기는 더욱 어렵습니다.
책상에서 벗어나 현장으로 나와서 국민의 목소리를 듣고 제대로된 정책으로 더 살기 좋은 대한민국을 만들어 주시기 바랍니다."
3,155,문화/예술/체육/언론,2019-11-06,개성관광 재개 를 촉구합니다.   자유롭게 왕래 할수 있도록 서명 부탁드립니다.,"안녕하세요. 
개성 관광 재개 국민 운동본부 입니다. 
38선에 걸쳐 있는 개성에 의미를 두고자 
38분의 국민 운동본부 추진위원과 함께 합니다. 

개성관광 재개 국민 운동본부는 
2007년 12월 5일 개성관광 시작 일을 기념하여
1차로 2019년 12월 5일까지 20만 명의 청와대 국민청원을 목표로 국민운동을 추진합니다. 

내 발로 달려 육로로
내 배를 타고 해로로
육로와 해로를 동시에 추진하며 
청와대 국민청원을 통하여 
시민의 의지를 표명할 예정입니다.  

온 마음을 다해 
큰 숲으로 하나가 되어 
한반도 평화의 숲이 되길 소망합니다. 

고려수도 개경개성 정도 1100주년 기념 919년 2019년"
4,"1,792",육아/교육,2019-11-06,학교우유급식제도를 폐지해주세요,"국민여러분께 동참을 호소합니다.
그리고 교육부와 농림축산식품부 관계자 여러분께 호소합니다.
마지막으로 청와대에 계신 문재인 대통령께 간곡히 청원합니다.

저는 두 살짜리 남자 아이를 키우고 있는 애기 엄마입니다. 지금은 아이가 어려서 제가 젖이며 이유식을 직접 만들어서 먹이고 있습니다. 그런데 곧 자라서 유치원과 초등학교를 가겠지요. 그때 지금과 같이 학교 우유급식을 반강제적으로 먹으라할까 봐 지금부터 걱정이 태산입니다. 

학교 우유급식제도는 선택제이고 희망하는 아이만 먹으면 되니 무슨 걱정이냐고 반문하실지 모르겠습니다. 그런데 그게 그렇게 단순한 문제가 아닌것 같아 이렇게 청원을 하게 되었습니다.

학교에서 우유를 먹이는 것은 다음과 같은 이유로 폐지돼야 한다고 생각합니다.

첫째 우유는 완전식품이 아니고 이제는 청소년 체위향상을 위해 우유급식을 실시할 명분도 없어졌을 만큼 아이들의 체위도 충분히 커졌다고 생각합니다. 또 우유의 영양학적 가치나 우유생산에 따른 환경 문제 등에 대한 논란이 국제적으로 뜨거운 상태입니다. 그리고 우리나라도 우유를 비롯한 동물성 식품을 먹지 않는 채식주의자들이 늘어나고 있는 추세인데 학교에서 제도적으로 우유를 공급한다는 것은 시대착오적이라고 생각합
니다.

둘째 아이들은 일반적으로 우유 먹기를 좋아하지 않습니다. 아이가 우유를 먹기를 바라는 것은 학부모의 일방적인 강요인 경우가 많습니다. 학교 선생님들의 이야기를 들어보면 초등학교 고학년 아이들의 경우 4 5층의 높은 교실에서 운동장에 세워둔 선생님의 자동차로 우유를 던져서 터뜨리는 장난을 한다고 합니다. 또 자기가 싫어하는 학생의 가방에 몰래 남은 우유를 쏟아서 가방을 적셔놓는 일이 발생하기도 한답니다. 그리고 먹지 않고 며칠이고 방치된 우유가 부패해서 악취를 풍기고 교실을 오염시키는 일도 종종 발생한다고 합니다. 그밖에 우유에 얽힌 부정적인 일화는 무척 많습니다. 우유도 먹는 음식인데 귀하게 여길 줄 모르고 장난치는 도구로 여긴다는 것은 교육기관에서 있을 수 없는 일이라 생각합니다.

셋째 학교에서 우유를 공급하려면 희망자 조사부터 투명하고 공정한 업체 선정을 위한 입찰업무 학부모로부터 우윳값 징수우윳값 미납자 독촉 우유 발주 검수확인 우유급식지도우유곽 반납 처리 지도 전출생 환불 처리 전입생 추가 발주무상우유급식대상자 선정 및 관리 등 업무가 굉장히 많은 것 같습니다. 학교 밖에 있는 학부모나 다른 사람들은 전혀 알 수 없는 어려움이 있는 거지요. 제가 학교에 계시는 여러 선생님으로부터 직접 취재하여 확인한 내용입니다. 담임교사나 영양교사 그리고 행정실 직원들 모두 신경이 곤두서는 일이라 생각합니다. 새 학기 시작으로 다른 업무도 무척 많아서 바쁜 때인데 우유급식업무가 진행되는 동안은 다른 업무는 마비 상태가 된다고 합니다. 또한 신청하는 학생과 신청하지 않은 학생 또는 신청하지 못하는 학생들이 분리되는 현상도 분명히 존재하리라 생각합니다.

넷째 학교에서 우유 먹는 시간은 등교하자마자 먹거나 대개는 1교시가 끝나고 먹도록 지도하는데 그렇게 되면 저학년의 경우 점심급식을 잘 먹을 수 없게 되지 않을까요? 학교급식을 통해 아이들의 편식을 고치고 건강한 몸과 마음으로 길러야 하는데 이미 우유를 먹었기 때문에 그 포만감으로 인해 급식으로 나오는 음식을 맛있게 먹지 못하고 음식물쓰레기로 만들어버릴 수 있다고 합니다. 이건 정말 대단한 문제 아닐까요?

1981년 1월 학교급식법이 제정되고 학교급식이 본격화되면서 우유급식이 학교급식식단에 필수적으로 포함되었다가 일부 학부모들의 지속적인 항의로 인하여 강제급식에서 선택급식으로 전환되었습니다.

그러나 학교에서 우유를 공급하는 제도가 여전히 실시되고 있는 한 이에 따른 여러 가지 부작용은 피할 수 없다고 봅니다. 따라서 교육부와 농림축산식품부는 학교우유급식제도를 완전히 폐지해주시기 바랍니다.

엄밀히 말해서 우유는 송아지의 빠른 성장을 위해 스스로 풀을 먹기 전까지 어미소로부터 공급받는 먹이일 뿐 입니다. 사람이 지속적 장기적으로 먹어야 하는 음식은 아니라고 생각합니다. 이러한 저의 생각에 동의하는 국민 여러분 특히 학교에 재직 하고 계시는 선생님들 학교에 아이들을 보내고 계시는 학부모님들 그리고 동물을 사랑하는 분들 채식을 적극적으로 실천하시는 분들 좋은 먹거리를 생산하느라 땀 흘리시는 농부님들 지구의 기후변화를 실감하고 이를 위해 노력하고 지구환경을 지키기 위해 고민과 실천을 하고 계시는 환경운동 진영 선생님들 모든 깨어있는 시민들께서는 이 청원에 동참해주시기 바랍니다."
5,149,안전/환경,2019-11-06,국민 취미 생활선상 낚시선사가 가입한 보험의 문제점!!,"본인은 지난 9월15일 1900경 진해에서 승선 하여 남해 먼 바다에서 
생활 낚시중 사무장의 관리 소홀로 인해 국 솥이 너울성 파고에 넘어져 
우측 하지에 심재성 2도 전신3.5 화상을 입고 화상 전문 병원에 입원
치료를 20여일 받았습니다.

하나더제주에서 2019년5월30일 발생한 대물호 충돌사건도 마찬 가지 입니다httpwww.jejusori.netnewsarticleView.html?idxno303364
문제는 선사에서 가입한 수협 공제가 상해 사고가 발생 했을 경우 너무나 보장성이
일례자동차의 경우 *책임 보험*만 가입약해 본인이 심하게 마음 고생과 편하지 
않은 병원에서 입원 치료를 받은적 있습니다.

선사에서 매년 가입하는 수협 공제거저 배를 낚시 어선으로 등록 하여 바다에서
영업 하기 위한 얄팍한 수단으로의 수협 공제 가입으로 만약!! 해상에서 
안전 사고가 났을 경우 피해자도 물론 경제적으로의 부담과 생계에 막대한 
어려움도 따르겠지만가뜩이나 어려운 경기에 몇 사람이라도 승선 시켜 선상 낚시를 
즐기도록 하는 선사에서도 관행 대로 가입한 얄팍한 영업선주 배상 수협 공제로 
1등급14등급으로 분류 하여 병원비로 애로 사항이 클것으로 생각 되어 지는바 
정부 유관기관에서는 대한 민국 낚시 어선의 보험공제관계를 널리 조사 하여 
대한 민국 낚시 인구인이 750만명 돠는데 향후 안전 사고가 나더라도 편안하게 
입원.치료를 받을수 있도록 수 백수 천의 낚시 어선 선주들에게 자동차의 
종합 보험격의 보험을 가입 할수 있는 폭넓은 보험 가입을 유도토록 
해 주시면 감사 하겠습니다."
6,389,행정,2019-11-06,****** . *****.  등  기업사냥꾼 종목을 조사해주세요,"******  종목  대주주 회사 관계자 .  김** 전 **** 회장등 관계자들을

금감원 . 검찰측에서 수사를 해봐야한다고 봅니다.  

****** 대주주측 ****는 2년전에도 계약 무한 연장으로 시장의 신뢰를 잃게하여 무자본 인수의혹을

받고있었는데 아무렇지 않게 넘어가고.  감사자를 자기들 패거리쪽으로 뽑아서 아무문제 없다는듯 운용하고있으며

현재 김** 회장과 짜고 치는지는 모르겠으나 

1월에 하기로 한 계약을 무려 10번이나 연장   그사이 주가는 4분의1토막 이상 . 신뢰 붕괴로 인한 주주피해  

후 계약을 파기 하였습니다.  아무래도 ****와 김**측과 .  상장전인 기업 ****을 이용하여 

****** .  ***** 등 상장 코스피 .코스닥 기업으로 무자본 인수 무리한 유상증자  . CB발행등 

기업사냥을 위한 꼼수가 난발하여 합법적으로 기업을  무자본으로 먹을려하고 주주들의 피해는 나몰라라 하는

주식시장 행태가 너무 만연 하고있습니다.   이기업 뿐만아니라 

여러기업에서도 이러한 문제가 우리나라 주식시장에 성행해서 자본주의 시장을 교란시키고 

몇몇 돈있는 큰손 회장들이 손을 잡고 주가 조작을 밥먹듯이하고.   몇몇 힘없는 기업들은 사냥꾼들의 표적이되어 

회사를 그냥 뺏기게되는 행태도 일어나고 있습니다.   

금감원 측에서도 알고있는데 왜 조사를 안하고있는지도 의문이고 한번 대대적으로  

주식시장 무자본 사냥꾼들     주가조작꾼들에 대한 대대적인 조사가 필요하다고 봅니다.

 본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다"
7,152,기타,2019-11-06,** 광고비 부당 청구 환불 요구의 건,"최근 **에서 텔레마케터를 모집하여 광고영업을 시작하는 과정에서
셀러들에게 부당하게 과도한 광고비가 청구되는 사태가 벌어졌습니다.

셀러들이 직업 광고집행 내역을 확인하고
광고세팅을 onoff 할수 있는 대시보드는 광고가 시작되는 시점에 오류로 인하여 확인 불가능하였고
이 기간에 대부분의 셀러들은 광고가 시작되어 광고비가 발생되고 있는지 조차 확인할 수 없었습니다.

또한 셀러들이 광고를 off 한 이후에도 
시스템 오류로 인하여 광고가 on으로 전환되어 광고비가 청구 되기도 하였습니다.

광고비를 별도 충전하고 차감하는 일반적인 방식이 아닌 
판매 정산금에서 차감하는 방식이다보니 
현재 정산금에서 광고비가 차감되고 있는지 
인지조차 못하는 셀러들이 많을것으로 생각됩니다.

** 본사에서도 이같은 문제를 인지하고 있는듯 하지만
어떠한 공식적인 사과나 부당하게 청구된 광고비에 대하여
어떤 방법으로 환불을 하겠다는 공지조차 없는 실정입니다.

품절상품 판매중지중인 상품에도 광고를 세팅하고
부당하게 광고비를 청구한 **은 
즉각 시스템 오류를 인정하고 셀러들에게 광고비 환불해 줄것을 요구합니다.

적게는 수십만원에서 수백 수천만원의 광고비 부과로 인하여
정산일에 한푼도 정산을 받지 못하여 당장 물품 대금 지급을 걱정해야 하는 영세 상인들입니다. 

아래는 관련 기사 링크 입니다
1. httpswww.nocutnews.co.krnews*******
2. httpsnews.mt.co.krmtview.php?no*************
3. httpwww.mediasr.co.krnewsarticleView.html?idxno******
4. httpwww.ohmynews.comNWSWebViewatpg.aspx?*****************************
5. httpwww.dailypop.krnewsarticleView.html?idxno******

 본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다"
8,151,안전/환경,2019-11-06,층간소음,"층간소음 대책을 묻고 싶습니다. 무대책입니까?

층간소음 시 피해자가 할 수 있는 건 뭡니까?

 찾아가지 마라
 보복 소음도 내지 마라

 국가소음정보시스템 층간소음이웃사이센터 이름은 거창하지만
원인제공자가해자가 응하지 않으면 그걸로 끝입니다.
있으나 마나 합니다.

그렇게 사건사고가 많이 나는데 하루 이틀도 아닌데 
 정부는 방관만 하고 있습니까?

층간소음의 피해자들은 신경쇠약과 불면증으로 하루하루가  지옥입니다

유럽 국가들이나 미국은 원인제공자가해자에게 불이익을 주거나 처벌하는 법제도를 운용한다는데 왜 우리 정부는 수수방관만 하는 건지요?"
9,205,인권/성평등,2019-11-06,소년법 폐지,"요즘 청소년들은 스스로 판단이 가능함에도 불구하고 청소년이므로 법으로 보호받아야 한다는 목적 아래로 소년법에 의해 보호받고 있습니다.그러나 요즘 청소년들의 범죄의 정도가 지나치고 있고 이로 인해 생사에 위협을 받기도 합니다.촉법소년으로 구분된다는 이유로 살인을 저질러도 단기 또는 장기징역을 받으므로 어떤 청소년들은 소년법을 악용하기도 합니다. 올해 일어난 청소년 범죄 사건에서 청소년가해자들은 과연 처벌을 받고 충분히 반성을 했을까요? 그들이 저지른 범죄는 성인과 다른 점이 있던가요? 피해자가 받은 무거운 상처는 가해자가  받은 가벼운 처벌로 더 상처가 깊어지지 않을까요? 소년법은 피해자를 위한 처벌이 아닌 오직 가해자를 위한 처벌이 아닐까 생각이 듭니다.반사회성이 있는 청소년도 옮고 그름을 구별 할 수 있습니다. 
그러므로 저는 소년법이 폐지해야한다고 생각합니다."
